data,par_moeda,moeda_base,moeda_cotada,bid,ask,high,low,fonte,confiabilidade
2025-12-15,USD-BRL,USD,BRL,5.19326289,5.19899791,5.23830389,5.15456978,awesomeapi,market_api
2025-12-16,USD-BRL,USD,BRL,5.22483813,5.22895469,5.2426219,5.1804484,awesomeapi,market_api
2025-12-17,USD-BRL,USD,BRL,5.26072054,5.26543977,5.30967829,5.24430476,awesomeapi,market_api
2025-12-18,USD-BRL,USD,BRL,5.28790169,5.29592113,5.33293236,5.26737379,awesomeapi,market_api
2025-12-19,USD-BRL,USD,BRL,5.26089727,5.26570736,5.31201294,5.23923931,awesomeapi,market_api
2025-12-20,USD-BRL,USD,BRL,5.27417246,5.28021105,5.3029701,5.25294773,awesomeapi,market_api
2025-12-21,USD-BRL,USD,BRL,5.28230434,5.29109244,5.32548609,5.2557526,awesomeapi,market_api
2025-12-22,USD-BRL,USD,BRL,5.29502863,5.30430917,5.31464459,5.28425618,awesomeapi,market_api
2025-12-23,USD-BRL,USD,BRL,5.33716194,5.34440314,5.3902807,5.32483761,awesomeapi,market_api
2025-12-24,USD-BRL,USD,BRL,5.35024099,5.35458537,5.38315202,5.30487348,awesomeapi,market_api
2025-12-25,USD-BRL,USD,BRL,5.38405861,5.38746975,5.41185046,5.34111209,awesomeapi,market_api
2025-12-26,USD-BRL,USD,BRL,5.39011256,5.39581161,5.40903558,5.37090238,awesomeapi,market_api
2025-12-27,USD-BRL,USD,BRL,5.4063234,5.41235185,5.43787112,5.35823678,awesomeapi,market_api
2025-12-28,USD-BRL,USD,BRL,5.43830694,5.44626524,5.4792205,5.38466404,awesomeapi,market_api
2025-12-29,USD-BRL,USD,BRL,5.3739401,5.3799469,5.4020288,5.32349613,awesomeapi,market_api
2025-12-30,USD-BRL,USD,BRL,5.36229366,5.3669525,5.40432612,5.31919914,awesomeapi,market_api
2025-12-31,USD-BRL,USD,BRL,5.34380358,5.34725932,5.37450828,5.32454184,awesomeapi,market_api
2026-01-01,USD-BRL,USD,BRL,5.31772335,5.32186087,5.34809087,5.29477505,awesomeapi,market_api
2026-01-02,USD-BRL,USD,BRL,5.30821149,5.31720408,5.35736998,5.26350698,awesomeapi,market_api
2026-01-03,USD-BRL,USD,BRL,5.37858245,5.38341805,5.40113525,5.35686467,awesomeapi,market_api
2026-01-04,USD-BRL,USD,BRL,5.34195665,5.34570968,5.3929744,5.31409096,awesomeapi,market_api
2026-01-05,USD-BRL,USD,BRL,5.38886098,5.39337165,5.43613945,5.3608736,awesomeapi,market_api
2026-01-06,USD-BRL,USD,BRL,5.31474047,5.3176778,5.33225537,5.27693139,awesomeapi,market_api
2026-01-07,USD-BRL,USD,BRL,5.30253505,5.31141339,5.32208802,5.2530138,awesomeapi,market_api
2026-01-08,USD-BRL,USD,BRL,5.31278698,5.32222512,5.35947068,5.29248528,awesomeapi,market_api
2026-01-09,USD-BRL,USD,BRL,5.34218204,5.34525809,5.38993788,5.31842855,awesomeapi,market_api
2026-01-10,USD-BRL,USD,BRL,5.37741601,5.38509697,5.4208641,5.36114209,awesomeapi,market_api
2026-01-11,USD-BRL,USD,BRL,5.41663593,5.42568852,5.4681378,5.37423992,awesomeapi,market_api
2026-01-12,USD-BRL,USD,BRL,5.40355929,5.40983733,5.45226387,5.36995098,awesomeapi,market_api
2026-01-13,USD-BRL,USD,BRL,5.38529531,5.39400418,5.43141524,5.34224083,awesomeapi,market_api
2026-01-14,USD-BRL,USD,BRL,5.42753108,5.43258836,5.44350295,5.4063273,awesomeapi,market_api
2026-01-15,USD-BRL,USD,BRL,5.42169058,5.42849108,5.45444961,5.38557586,awesomeapi,market_api
2026-01-16,USD-BRL,USD,BRL,5.36588331,5.37174636,5.41039402,5.31595253,awesomeapi,market_api
2026-01-17,USD-BRL,USD,BRL,5.31714531,5.32177169,5.35910921,5.27767202,awesomeapi,market_api
2026-01-18,USD-BRL,USD,BRL,5.27851442,5.28529539,5.29703272,5.23437623,awesomeapi,market_api
2026-01-19,USD-BRL,USD,BRL,5.3037239,5.3140181,5.34495871,5.25417184,awesomeapi,market_api
2026-01-20,USD-BRL,USD,BRL,5.31306173,5.32356182,5.33865159,5.27530824,awesomeapi,market_api
2026-01-21,USD-BRL,USD,BRL,5.34716694,5.35364182,5.40006663,5.33245976,awesomeapi,market_api
2026-01-22,USD-BRL,USD,BRL,5.33068886,5.33665157,5.37868805,5.30791397,awesomeapi,market_api
2026-01-23,USD-BRL,USD,BRL,5.34080431,5.34978588,5.36784087,5.28825171,awesomeapi,market_api
2026-01-24,USD-BRL,USD,BRL,5.37214157,5.38194732,5.39583574,5.3282966,awesomeapi,market_api
2026-01-25,USD-BRL,USD,BRL,5.3609705,5.3663598,5.39769799,5.32200779,awesomeapi,market_api
2026-01-26,USD-BRL,USD,BRL,5.38473348,5.39412657,5.39655624,5.36448008,awesomeapi,market_api
2026-01-27,USD-BRL,USD,BRL,5.35739858,5.36579832,5.39226552,5.32544255,awesomeapi,market_api
2026-01-28,USD-BRL,USD,BRL,5.34381244,5.34692689,5.36938903,5.29614135,awesomeapi,market_api
2026-01-29,USD-BRL,USD,BRL,5.32941208,5.33232375,5.35697309,5.27845658,awesomeapi,market_api
2026-01-30,USD-BRL,USD,BRL,5.27817172,5.28121364,5.32038467,5.25673759,awesomeapi,market_api
2026-01-31,USD-BRL,USD,BRL,5.30292247,5.31246727,5.34517904,5.25474202,awesomeapi,market_api
2026-02-01,USD-BRL,USD,BRL,5.28468085,5.28903483,5.31771191,5.24116594,awesomeapi,market_api
2026-02-02,USD-BRL,USD,BRL,5.28814865,5.29274167,5.30848672,5.27642241,awesomeapi,market_api
2026-02-03,USD-BRL,USD,BRL,5.31266634,5.32296108,5.35346834,5.27502885,awesomeapi,market_api
2026-02-04,USD-BRL,USD,BRL,5.33575261,5.34437515,5.36911656,5.30475685,awesomeapi,market_api
2026-02-05,USD-BRL,USD,BRL,5.36886509,5.37516974,5.40711027,5.34947124,awesomeapi,market_api
2026-02-06,USD-BRL,USD,BRL,5.36732354,5.37715695,5.41291369,5.34157913,awesomeapi,market_api
2026-02-07,USD-BRL,USD,BRL,5.35096375,5.35828341,5.36770273,5.2986379,awesomeapi,market_api
2026-02-08,USD-BRL,USD,BRL,5.35028094,5.36020217,5.40044079,5.32536305,awesomeapi,market_api
2026-02-09,USD-BRL,USD,BRL,5.27648803,5.28046493,5.29598031,5.26213593,awesomeapi,market_api
2026-02-10,USD-BRL,USD,BRL,5.21448689,5.21803361,5.2278904,5.16276656,awesomeapi,market_api
2026-02-11,USD-BRL,USD,BRL,5.15872866,5.16188109,5.17451611,5.11427055,awesomeapi,market_api
2026-02-12,USD-BRL,USD,BRL,5.11783749,5.12485077,5.1597799,5.08177058,awesomeapi,market_api
2026-02-13,USD-BRL,USD,BRL,5.13804313,5.14741113,5.174563,5.10630543,awesomeapi,market_api
2026-02-14,USD-BRL,USD,BRL,5.10132373,5.10932835,5.12978474,5.07699802,awesomeapi,market_api
2026-02-15,USD-BRL,USD,BRL,5.08773186,5.09384466,5.104815,5.04513445,awesomeapi,market_api
2026-02-16,USD-BRL,USD,BRL,5.40405199,5.4088673,5.42149763,5.38259348,awesomeapi,market_api
2026-02-17,USD-BRL,USD,BRL,5.13396136,5.14301307,5.15779121,5.09551621,awesomeapi,market_api
2026-02-18,USD-BRL,USD,BRL,5.16896924,5.17819385,5.18252205,5.1269962,awesomeapi,market_api
2026-02-19,USD-BRL,USD,BRL,5.13079252,5.13572577,5.14994566,5.09225405,awesomeapi,market_api
2026-02-20,USD-BRL,USD,BRL,5.12465497,5.13421089,5.14699925,5.09108504,awesomeapi,market_api
2026-02-21,USD-BRL,USD,BRL,5.08609098,5.09084521,5.11881634,5.05061602,awesomeapi,market_api
2026-02-22,USD-BRL,USD,BRL,5.07423133,5.08141392,5.10969194,5.05859946,awesomeapi,market_api
2026-02-23,USD-BRL,USD,BRL,5.11326546,5.12114148,5.15109341,5.07511689,awesomeapi,market_api
2026-02-24,USD-BRL,USD,BRL,5.04100365,5.04408423,5.06910578,5.01442606,awesomeapi,market_api
2026-02-25,USD-BRL,USD,BRL,5.06239061,5.06558026,5.0815211,5.03440723,awesomeapi,market_api
2026-02-26,USD-BRL,USD,BRL,5.07540477,5.0835983,5.09518107,5.03156343,awesomeapi,market_api
2026-02-27,USD-BRL,USD,BRL,5.05256405,5.05922686,5.09340582,5.02335797,awesomeapi,market_api
2026-02-28,USD-BRL,USD,BRL,4.99323941,4.99947493,5.02798115,4.9461843,awesomeapi,market_api
2026-03-01,USD-BRL,USD,BRL,4.99904705,5.00523447,5.03018742,4.96497367,awesomeapi,market_api
2026-03-02,USD-BRL,USD,BRL,4.97929738,4.98729549,4.99211809,4.9487967,awesomeapi,market_api
2026-03-03,USD-BRL,USD,BRL,4.99188379,4.9979858,5.03867511,4.9621918,awesomeapi,market_api
2026-03-04,USD-BRL,USD,BRL,4.99555653,5.00156359,5.04400144,4.96755838,awesomeapi,market_api
2026-03-05,USD-BRL,USD,BRL,5.06631919,5.07022698,5.08524356,5.05232855,awesomeapi,market_api
2026-03-06,USD-BRL,USD,BRL,5.05879813,5.06133184,5.08639673,5.01754899,awesomeapi,market_api
2026-03-07,USD-BRL,USD,BRL,5.01757029,5.02559941,5.02889592,4.98465572,awesomeapi,market_api
2026-03-08,USD-BRL,USD,BRL,5.02797595,5.03165353,5.07588557,5.01118794,awesomeapi,market_api
2026-03-09,USD-BRL,USD,BRL,5.04014351,5.04740111,5.0633781,5.00419473,awesomeapi,market_api
2026-03-10,USD-BRL,USD,BRL,5.10114484,5.1068499,5.14234752,5.08152873,awesomeapi,market_api
2026-03-11,USD-BRL,USD,BRL,5.14016067,5.14971462,5.17101025,5.09878882,awesomeapi,market_api
2026-03-12,USD-BRL,USD,BRL,5.15857994,5.16773433,5.2101174,5.13902085,awesomeapi,market_api
2026-03-13,USD-BRL,USD,BRL,5.22557996,5.23044152,5.24650039,5.20413956,awesomeapi,market_api
2026-03-14,USD-BRL,USD,BRL,5.17565223,5.18276185,5.22714055,5.12429825,awesomeapi,market_api
2026-03-15,USD-BRL,USD,BRL,5.15035422,5.156999,5.18698466,5.10462029,awesomeapi,market_api
2026-03-16,USD-BRL,USD,BRL,5.11262327,5.12233418,5.13118661,5.08078014,awesomeapi,market_api
2026-03-17,USD-BRL,USD,BRL,5.09849513,5.1074137,5.12105911,5.07035922,awesomeapi,market_api
2026-03-18,USD-BRL,USD,BRL,5.04163756,5.0516121,5.09145083,4.99500819,awesomeapi,market_api
2026-03-19,USD-BRL,USD,BRL,4.81804771,4.82622718,4.83805728,4.79604465,awesomeapi,market_api
2026-03-20,USD-BRL,USD,BRL,5.0648388,5.07152907,5.09769046,5.0342268,awesomeapi,market_api
2026-03-21,USD-BRL,USD,BRL,5.00430459,5.01158588,5.03066018,4.96430322,awesomeapi,market_api
2026-03-22,USD-BRL,USD,BRL,4.96385769,4.96882316,4.98691687,4.94887772,awesomeapi,market_api
2026-03-23,USD-BRL,USD,BRL,4.97981584,4.98371537,5.02365897,4.95207697,awesomeapi,market_api
2026-03-24,USD-BRL,USD,BRL,5.01803132,5.02225551,5.05855056,4.9857561,awesomeapi,market_api
2026-03-25,USD-BRL,USD,BRL,5.10595833,5.10867334,5.12909288,5.08851632,awesomeapi,market_api
2026-03-26,USD-BRL,USD,BRL,5.23523012,5.24299821,5.25721939,5.22203957,awesomeapi,market_api
2026-03-27,USD-BRL,USD,BRL,5.25655049,5.25961192,5.29152663,5.24512387,awesomeapi,market_api
2026-03-28,USD-BRL,USD,BRL,5.21522836,5.22447594,5.23214227,5.17949085,awesomeapi,market_api
2026-03-29,USD-BRL,USD,BRL,5.12358432,5.1295637,5.15198338,5.11039428,awesomeapi,market_api
2026-03-30,USD-BRL,USD,BRL,5.13806125,5.14681716,5.18504584,5.12733229,awesomeapi,market_api
2026-03-31,USD-BRL,USD,BRL,5.10538318,5.10930364,5.15251216,5.07272941,awesomeapi,market_api
2026-04-01,USD-BRL,USD,BRL,5.0901664,5.09385707,5.10860463,5.05311055,awesomeapi,market_api
2026-04-02,USD-BRL,USD,BRL,5.06648276,5.07452441,5.10091161,5.01771691,awesomeapi,market_api
2026-04-03,USD-BRL,USD,BRL,5.06320615,5.06949007,5.08549527,5.03374911,awesomeapi,market_api
2026-04-04,USD-BRL,USD,BRL,5.11186777,5.11718156,5.13126898,5.09976437,awesomeapi,market_api
2026-04-05,USD-BRL,USD,BRL,5.1215032,5.12676973,5.16089408,5.11050476,awesomeapi,market_api
2026-04-06,USD-BRL,USD,BRL,5.11741421,5.1233441,5.15401434,5.08218985,awesomeapi,market_api
2026-04-07,USD-BRL,USD,BRL,5.0751799,5.08362993,5.11823852,5.03613326,awesomeapi,market_api
2026-04-08,USD-BRL,USD,BRL,5.00572705,5.00900178,5.03476117,4.97155171,awesomeapi,market_api
2026-04-09,USD-BRL,USD,BRL,4.98778844,4.99211958,4.99946193,4.96889109,awesomeapi,market_api
2026-04-10,USD-BRL,USD,BRL,4.98825155,4.99414937,5.01474636,4.97122497,awesomeapi,market_api
2026-04-11,USD-BRL,USD,BRL,5.06595556,5.07475322,5.11360337,5.04766347,awesomeapi,market_api
2026-04-12,USD-BRL,USD,BRL,5.07435154,5.08396418,5.0852253,5.02665416,awesomeapi,market_api
2026-04-13,USD-BRL,USD,BRL,5.11952994,5.12939985,5.1302626,5.07804048,awesomeapi,market_api
2026-04-14,USD-BRL,USD,BRL,5.10061833,5.11059158,5.14778486,5.05080732,awesomeapi,market_api
2026-04-15,USD-BRL,USD,BRL,5.05205013,5.05874655,5.06531302,5.00760061,awesomeapi,market_api
2026-04-16,USD-BRL,USD,BRL,5.0133843,5.02050703,5.04806636,4.98662271,awesomeapi,market_api
2026-04-17,USD-BRL,USD,BRL,4.98523705,4.99200582,5.00133258,4.94576314,awesomeapi,market_api
2026-04-18,USD-BRL,USD,BRL,5.0781718,5.08128232,5.11797576,5.03352539,awesomeapi,market_api
2026-04-19,USD-BRL,USD,BRL,5.04551008,5.05160861,5.07617994,5.02281682,awesomeapi,market_api
2026-04-20,USD-BRL,USD,BRL,5.08424526,5.09418083,5.12423283,5.05906855,awesomeapi,market_api
2026-04-21,USD-BRL,USD,BRL,5.04802062,5.05186828,5.0669842,5.01918947,awesomeapi,market_api
2026-04-22,USD-BRL,USD,BRL,5.09076913,5.10051211,5.13084963,5.07182154,awesomeapi,market_api
2026-04-23,USD-BRL,USD,BRL,5.11022647,5.11937042,5.13590845,5.06518608,awesomeapi,market_api
2026-04-24,USD-BRL,USD,BRL,5.10623323,5.11063761,5.1417179,5.0581664,awesomeapi,market_api
2026-04-25,USD-BRL,USD,BRL,5.10727244,5.11180178,5.14579871,5.0567181,awesomeapi,market_api
2026-04-26,USD-BRL,USD,BRL,5.08165592,5.08534468,5.09541307,5.04408438,awesomeapi,market_api
2026-04-27,USD-BRL,USD,BRL,5.10371851,5.10887124,5.11683484,5.07410446,awesomeapi,market_api
2026-04-28,USD-BRL,USD,BRL,5.08678764,5.09508244,5.10856407,5.06297956,awesomeapi,market_api
2026-04-29,USD-BRL,USD,BRL,5.036593,5.04550047,5.06762131,4.99256383,awesomeapi,market_api
2026-04-30,USD-BRL,USD,BRL,4.98465329,4.99048326,5.0326246,4.9487321,awesomeapi,market_api
2026-05-01,USD-BRL,USD,BRL,4.99470732,4.998073,5.04006298,4.96516802,awesomeapi,market_api
2026-05-02,USD-BRL,USD,BRL,5.06449475,5.06810299,5.08081013,5.02650967,awesomeapi,market_api
2026-05-03,USD-BRL,USD,BRL,5.07416758,5.07706522,5.09594971,5.0583448,awesomeapi,market_api
2026-05-04,USD-BRL,USD,BRL,5.07184145,5.07773298,5.09879742,5.04052277,awesomeapi,market_api
2025-11-06,EUR-BRL,EUR,BRL,5.55,5.55819736,5.56592481,5.53828829,awesomeapi,market_api
2025-11-07,EUR-BRL,EUR,BRL,5.56439501,5.56924962,5.59584708,5.53572405,awesomeapi,market_api
2025-11-08,EUR-BRL,EUR,BRL,5.62140231,5.63104557,5.64963694,5.58630492,awesomeapi,market_api
2025-11-09,EUR-BRL,EUR,BRL,5.63318122,5.64101289,5.64543143,5.59870014,awesomeapi,market_api
2025-11-10,EUR-BRL,EUR,BRL,5.61835495,5.6240702,5.64852687,5.60261064,awesomeapi,market_api
2025-11-11,EUR-BRL,EUR,BRL,5.66749963,5.67698833,5.72156323,5.65515496,awesomeapi,market_api
2025-11-12,EUR-BRL,EUR,BRL,5.68827483,5.69625013,5.73441102,5.66393777,awesomeapi,market_api
2025-11-13,EUR-BRL,EUR,BRL,5.75635307,5.76603142,5.79698625,5.70205166,awesomeapi,market_api
2025-11-14,EUR-BRL,EUR,BRL,5.76685414,5.77822354,5.78034148,5.73479331,awesomeapi,market_api
2025-11-15,EUR-BRL,EUR,BRL,5.71648922,5.72403774,5.73463305,5.68967725,awesomeapi,market_api
2025-11-16,EUR-BRL,EUR,BRL,5.66040364,5.67161956,5.67245941,5.62859181,awesomeapi,market_api
2025-11-17,EUR-BRL,EUR,BRL,5.73303771,5.74315068,5.75935929,5.69956601,awesomeapi,market_api
2025-11-18,EUR-BRL,EUR,BRL,5.80973138,5.82115952,5.8434221,5.79202697,awesomeapi,market_api
2025-11-19,EUR-BRL,EUR,BRL,5.80452357,5.80787616,5.86003416,5.78057135,awesomeapi,market_api
2025-11-20,EUR-BRL,EUR,BRL,5.79045396,5.79772732,5.8062365,5.7592478,awesomeapi,market_api
2025-11-21,EUR-BRL,EUR,BRL,5.85652785,5.8676269,5.89178008,5.79931496,awesomeapi,market_api
2025-11-22,EUR-BRL,EUR,BRL,5.81053746,5.81569869,5.84561197,5.7589617,awesomeapi,market_api
2025-11-23,EUR-BRL,EUR,BRL,5.77416087,5.78093037,5.79861963,5.72309533,awesomeapi,market_api
2025-11-24,EUR-BRL,EUR,BRL,5.80461928,5.81091633,5.8408737,5.7476631,awesomeapi,market_api
2025-11-25,EUR-BRL,EUR,BRL,5.79005237,5.79456702,5.81559348,5.77703311,awesomeapi,market_api
2025-11-26,EUR-BRL,EUR,BRL,5.79243547,5.79873623,5.81329674,5.74933813,awesomeapi,market_api
2025-11-27,EUR-BRL,EUR,BRL,5.78794158,5.79240976,5.83076367,5.76416585,awesomeapi,market_api
2025-11-28,EUR-BRL,EUR,BRL,5.80520011,5.81119588,5.83301216,5.76030261,awesomeapi,market_api
2025-11-29,EUR-BRL,EUR,BRL,5.86909281,5.87613433,5.89779497,5.81732165,awesomeapi,market_api
2025-11-30,EUR-BRL,EUR,BRL,5.87572128,5.88370008,5.89752401,5.82166036,awesomeapi,market_api
2025-12-01,EUR-BRL,EUR,BRL,5.90674239,5.91273169,5.92039781,5.8715571,awesomeapi,market_api
2025-12-02,EUR-BRL,EUR,BRL,5.81857664,5.82256764,5.84131407,5.77216251,awesomeapi,market_api
2025-12-03,EUR-BRL,EUR,BRL,5.81906896,5.82311978,5.86827241,5.7638154,awesomeapi,market_api
2025-12-04,EUR-BRL,EUR,BRL,5.78488643,5.79304195,5.82933098,5.74029252,awesomeapi,market_api
2025-12-05,EUR-BRL,EUR,BRL,5.73460941,5.74601677,5.76174734,5.71566885,awesomeapi,market_api
2025-12-06,EUR-BRL,EUR,BRL,5.69942103,5.70670917,5.7351336,5.6799102,awesomeapi,market_api
2025-12-07,EUR-BRL,EUR,BRL,5.68770345,5.69577807,5.69972155,5.63411762,awesomeapi,market_api
2025-12-08,EUR-BRL,EUR,BRL,5.72933328,5.7344717,5.74260517,5.71291303,awesomeapi,market_api
2025-12-09,EUR-BRL,EUR,BRL,5.67491638,5.67979893,5.69870137,5.662077,awesomeapi,market_api
2025-12-10,EUR-BRL,EUR,BRL,5.67877383,5.6839928,5.69889676,5.65021546,awesomeapi,market_api
2025-12-11,EUR-BRL,EUR,BRL,5.66070811,5.66680895,5.68738172,5.63453644,awesomeapi,market_api
2025-12-12,EUR-BRL,EUR,BRL,5.64934397,5.65292902,5.66178179,5.62891077,awesomeapi,market_api
2025-12-13,EUR-BRL,EUR,BRL,5.6943731,5.70368325,5.75089817,5.64068536,awesomeapi,market_api
2025-12-14,EUR-BRL,EUR,BRL,5.71991729,5.72710339,5.75569304,5.69408242,awesomeapi,market_api
2025-12-15,EUR-BRL,EUR,BRL,5.77986481,5.78946464,5.82678606,5.72926684,awesomeapi,market_api
2025-12-16,EUR-BRL,EUR,BRL,5.77576808,5.78641431,5.80738922,5.72878218,awesomeapi,market_api
2025-12-17,EUR-BRL,EUR,BRL,5.74822015,5.7580473,5.77390134,5.6939918,awesomeapi,market_api
2025-12-18,EUR-BRL,EUR,BRL,5.74115593,5.74483895,5.79830428,5.69430393,awesomeapi,market_api
2025-12-19,EUR-BRL,EUR,BRL,5.75418104,5.75786318,5.79589791,5.74109928,awesomeapi,market_api
2025-12-20,EUR-BRL,EUR,BRL,5.76439068,5.77393237,5.81277573,5.72508168,awesomeapi,market_api
2025-12-21,EUR-BRL,EUR,BRL,5.72010339,5.73031543,5.73602281,5.69603668,awesomeapi,market_api
2025-12-22,EUR-BRL,EUR,BRL,5.72655951,5.73298051,5.73995774,5.69457251,awesomeapi,market_api
2025-12-23,EUR-BRL,EUR,BRL,5.73893869,5.74409122,5.76844762,5.70794371,awesomeapi,market_api
2025-12-24,EUR-BRL,EUR,BRL,5.84987843,5.86052005,5.87422988,5.79635236,awesomeapi,market_api
2025-12-25,EUR-BRL,EUR,BRL,5.93485572,5.94161526,5.96228936,5.89912732,awesomeapi,market_api
2025-12-26,EUR-BRL,EUR,BRL,5.89954733,5.90619385,5.92349347,5.8640236,awesomeapi,market_api
2025-12-27,EUR-BRL,EUR,BRL,5.88948639,5.89377219,5.91784686,5.85104971,awesomeapi,market_api
2025-12-28,EUR-BRL,EUR,BRL,5.82749475,5.8340222,5.8775605,5.8038714,awesomeapi,market_api
2025-12-29,EUR-BRL,EUR,BRL,5.80429956,5.81564497,5.85234625,5.74776136,awesomeapi,market_api
2025-12-30,EUR-BRL,EUR,BRL,5.82065049,5.83087856,5.83890888,5.78449446,awesomeapi,market_api
2025-12-31,EUR-BRL,EUR,BRL,5.87591117,5.8803473,5.92612564,5.83669947,awesomeapi,market_api
2026-01-01,EUR-BRL,EUR,BRL,5.84642509,5.85165866,5.90159659,5.82934483,awesomeapi,market_api
2026-01-02,EUR-BRL,EUR,BRL,6.11139149,6.11961616,6.15886676,6.09629154,awesomeapi,market_api
2026-01-03,EUR-BRL,EUR,BRL,6.01571969,6.02412235,6.06701699,6.00043844,awesomeapi,market_api
2026-01-04,EUR-BRL,EUR,BRL,5.72484535,5.73210654,5.74813664,5.68303454,awesomeapi,market_api
2026-01-05,EUR-BRL,EUR,BRL,5.68180534,5.6856577,5.7357621,5.62977234,awesomeapi,market_api
2026-01-06,EUR-BRL,EUR,BRL,5.66180087,5.66621119,5.68776661,5.62386069,awesomeapi,market_api
2026-01-07,EUR-BRL,EUR,BRL,5.62711409,5.63598858,5.65829533,5.60882411,awesomeapi,market_api
2026-01-08,EUR-BRL,EUR,BRL,5.6256681,5.62935982,5.68191422,5.59392348,awesomeapi,market_api
2026-01-09,EUR-BRL,EUR,BRL,5.55403668,5.5640828,5.58657782,5.50194614,awesomeapi,market_api
2026-01-10,EUR-BRL,EUR,BRL,5.49542582,5.49889695,5.51142934,5.44356517,awesomeapi,market_api
